service_id,date,exception_type
BFA25GEN-J056-Weekday-00_C29,20260218,2
BFA25GEN-J056-Weekday-00_C29,20260219,2
BFA25GEN-J056-Weekday-00_C29,20260220,2
BFA25GEN-J056-Weekday-00_C29,20260223,2
BFA25GEN-J056-Weekday-00_C29,20260224,2
BFA25GEN-L027-Saturday-00_C12,20260119,1
BFA25GEN-L027-Saturday-00_C12,20260216,2
BFA25GEN-L027-Saturday-00_C12,20260221,2
BFA25GEN-L027-Sunday-00_C45,20251127,1
BFA25GEN-L027-Sunday-00_C45,20251225,1
BFA25GEN-L027-Sunday-00_C45,20260101,1
BFA25GEN-L027-Sunday-00_C45,20260222,2
BFA25GEN-L053-Weekday-00_C60,20251127,2
BFA25GEN-L053-Weekday-00_C60,20251225,2
BFA25GEN-L053-Weekday-00_C60,20260101,2
BFA25GEN-L053-Weekday-00_C60,20260119,2
BFA25GEN-L053-Weekday-00_C60,20260216,2
BFA25GEN-L053-Weekday-00_C60,20260217,2
BFA25GEN-L053-Weekday-00_C60,20260218,2
BFA25GEN-L053-Weekday-00_C60,20260219,2
BFA25GEN-L053-Weekday-00_C60,20260220,2
BFA25GEN-L053-Weekday-00_C60,20260223,2
BFA25GEN-L053-Weekday-00_C60,20260224,2
BFA25GEN-M027-Sunday-00_C46,20251127,1
BFA25GEN-M027-Sunday-00_C46,20251225,1
BFA25GEN-M027-Sunday-00_C46,20260101,1
BFA25GEN-M027-Sunday-00_C46,20260222,2
BFA25GEN-M028-Saturday-00_C48,20260119,1
BFA25GEN-M028-Saturday-00_C48,20260216,2
BFA25GEN-M028-Saturday-00_C48,20260221,2
BFA25GEN-M093-Weekday-00_C13,20251127,2
BFA25GEN-M093-Weekday-00_C13,20251225,2
BFA25GEN-M093-Weekday-00_C13,20260101,2
BFA25GEN-M093-Weekday-00_C13,20260119,2
BFA25GEN-M093-Weekday-00_C13,20260216,2
BFA25GEN-M093-Weekday-00_C13,20260217,2
BFA25GEN-M093-Weekday-00_C13,20260218,2
BFA25GEN-M093-Weekday-00_C13,20260219,2
BFA25GEN-M093-Weekday-00_C13,20260220,2
BFA25GEN-M093-Weekday-00_C13,20260223,2
BFA25GEN-M093-Weekday-00_C13,20260224,2
BFA25GEN-N057-Saturday-00_C38,20260119,1
BFA25GEN-N057-Saturday-00_C38,20260216,2
BFA25GEN-N057-Saturday-00_C38,20260221,2
BFA25GEN-N060-Sunday-00_C4,20251127,1
