batch	file	name	app_files	test_files	eval_files	hit_lines	classification
batch6e	backend/app/services/agent/turn/stream.py	_continue_after_mixed_terminal	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/stream.py	_capture_tool_round_message	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/stream.py	_record_plan_trip_start	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/stream.py	_normalize_capability_event	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/stream.py	_resolve_capability_iteration	1	0	0	2	inline-candidate-or-same-file
batch5	backend/app/services/agent/loop.py	_web_search_tool	1	1	0	3	inline-candidate-or-same-file
batch5	backend/app/services/agent/model/stream.py	WebResearchTimeoutError	1	0	0	3	public
batch5	backend/app/services/agent/presented_entity_registry.py	_rewrite_source_place_id	1	0	0	2	inline-candidate-or-same-file
batch5	backend/app/services/agent/tool_input_policy.py	_evidence_capability_error	1	0	0	2	inline-candidate-or-same-file
batch5	backend/app/services/agent/turn/completion.py	TurnResolution	1	1	0	20	public
batch5	backend/app/services/agent/turn/contract.py	GoalKind	12	19	0	198	public
batch5	backend/app/services/agent/turn/contract.py	GoalState	13	18	0	233	public
batch5	backend/app/services/agent/turn/stream.py	_apply_server_web_progress	1	0	0	2	inline-candidate-or-same-file
batch5	backend/app/services/agent/turn/tool_round.py	TurnDeadlineReachedError	2	0	0	3	public
batch6c	backend/app/services/agent/tools/__init__.py	_discover_places_where	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/__init__.py	_discover_places_label	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/__init__.py	_arrivals_status_label	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/__init__.py	_label_route_ids	1	0	0	3	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/__init__.py	_check_transit_label	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/complete_turn.py	_answer_goal_facts	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/complete_turn.py	_interrupt_goal_facts	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/complete_turn.py	_interrupt_goal_error	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/complete_turn.py	_unavailable_goal_facts	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/complete_turn.py	_bound_turn_contract	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/complete_turn.py	_terminate_turn	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/location_resolution.py	_stops_on_named_route	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/location_resolution.py	_gtfs_stop_place	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/location_resolution.py	_station_or_geocoded_place	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/location_resolution.py	_known_alias_place	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/location_resolution.py	_saved_profile_coords	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/location_resolution.py	_saved_profile_place	1	0	0	3	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/damn_lines.py	_accumulate_history_row	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/damn_lines.py	_pattern_from_bucket	1	0	0	2	inline-candidate-or-same-file
