name	added_in	hits_all	hits_non_test
pushWalkDetail	frontend/components/smart-route/left-rail/live-data/route-steps.ts	2	2
readLimitedBytes	frontend/lib/backend-proxy-core.ts	2	2
readSseLine	frontend/lib/agent-chat-stream.ts	2	2
recommendedFootMeta	frontend/components/smart-route/left-rail/route-view-itinerary.tsx	2	2
rejectFailedUpstream	frontend/lib/backend-stream-proxy.ts	2	2
restoreSessionIfIdle	frontend/lib/agent-chat-state.ts	2	2
rewriteDelayTitle	frontend/components/smart-route/left-rail/alert-feed-copy.ts	2	2
rewriteLeadTitle	frontend/components/smart-route/left-rail/alert-feed-copy.ts	2	2
rewriteMedicalTitle	frontend/components/smart-route/left-rail/alert-feed-copy.ts	2	2
rewritePartialSuspensionTitle	frontend/components/smart-route/left-rail/alert-feed-copy.ts	2	2
rewritePatternTitle	frontend/components/smart-route/left-rail/alert-feed-copy.ts	2	2
rideDetailFromStep	frontend/components/smart-route/left-rail/live-data/route-steps.ts	2	2
rideLineColor	frontend/components/smart-route/left-rail/route-view-itinerary.tsx	2	2
rideMetaLabel	frontend/components/smart-route/left-rail/live-data/route-steps.ts	2	2
rideStopCount	frontend/components/smart-route/left-rail/live-data/route-steps.ts	2	2
routeOptionBase	frontend/components/smart-route/left-rail/live-data/route-reason-copy.ts	2	2
runOneTurnAttempt	frontend/lib/agent-chat-controller.ts	2	2
selectedEta	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
selectedPlanFacts	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
selectedTotalTime	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
selectionFromSuggestion	frontend/lib/mapbox-search.ts	2	2
serviceAlertInsights	frontend/components/smart-route/left-rail/live-data/route-reasoning.ts	2	2
shouldBufferStreamEvent	frontend/lib/agent-chat-controller.ts	2	2
shouldIgnoreDone	frontend/lib/agent-chat-state.ts	2	2
shouldRecoverExpiredSession	frontend/lib/agent-chat-controller.ts	2	2
shouldRetryEndedAttempt	frontend/lib/agent-chat-controller.ts	2	2
shouldRetryTransportFailure	frontend/lib/agent-chat-controller.ts	2	2
soonestBusWait	frontend/components/smart-route/left-rail/live-data/route-reasoning.ts	2	2
soonestLiveTrain	frontend/components/smart-route/left-rail/live-data/route-reasoning.ts	2	2
sseProxyResponse	frontend/lib/backend-stream-proxy.ts	2	2
stepStopFeatures	frontend/components/map/route-stops-features.ts	2	2
stopCountFromLeg	frontend/components/smart-route/chat/itinerary-event-adapter.ts	2	2
structuredFastestCopy	frontend/components/smart-route/chat/itinerary-view-model.ts	2	2
structuredFewerTransfersCopy	frontend/components/smart-route/chat/itinerary-view-model.ts	2	2
suggestionFromUnknown	frontend/lib/mapbox-search.ts	2	2
transitEventKind	frontend/components/smart-route/chat/itinerary-event-adapter.ts	2	2
transitLineId	frontend/components/map/route-stops-features.ts	2	2
transitRailStep	frontend/components/smart-route/left-rail/live-data/route-steps.ts	2	2
transitTokenBadge	frontend/components/smart-route/left-rail/atoms.tsx	2	2
transportErrorFromUnknown	frontend/lib/agent-chat-controller.ts	2	2
unavailableItineraryViewModel	frontend/components/smart-route/chat/itinerary-view-model.ts	2	2
updateHasCopy	frontend/components/smart-route/left-rail/alert-detail.tsx	2	2
upsertRunningToolChip	frontend/lib/agent-chat-state.ts	2	2
waitSecondsFromLeg	frontend/components/smart-route/chat/itinerary-event-adapter.ts	2	2
walkRailStep	frontend/components/smart-route/left-rail/live-data/route-steps.ts	2	2
walkSectionEndpoints	frontend/components/smart-route/chat/itinerary-event-adapter.ts	2	2
walkSectionFromGroup	frontend/components/smart-route/chat/itinerary-event-adapter.ts	2	2
withArriveStep	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
withoutExpiredSession	frontend/lib/agent-chat-controller.ts	2	2
